,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
150,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458
54,0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522461
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
159,,SOM,SubSaharian,1436.74,,,0.0,,
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
145,0.76200002,KNA,Caribbean,11237.75,,,8.6800003,,5.080365180969238
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
135,0.73699999,PER,LatAm,9227.1504,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133
193,0.57599998,ZMB,SubSaharian,1916.79,,56.40000152587891,2.4100001,15.9,4.986764907836914
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
2,0.74299997,DZA,NorthAfrica,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
44,0.773,CUB,LatAm,5899.9399,,,4.3699999,36.099998,11.05880069732666
9,0.89200002,AUT,WesternDem,38868.039,8.543999671936035,3.299999952316284,12.32,,11.20547294616699
116,0.414,MOZ,SubSaharian,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576
51,0.73900002,ECU,LatAm,7259.52,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127
91,0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822
186,0.91799998,USA,WesternDem,47769.699,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703
161,0.50700003,ZWE,SubSaharian,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832
113,0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,15.10000038146973,9.9899998,23.799999,10.32365608215332
93,0.58200002,LAO,SouthEastAsia,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
188,0.79400003,URY,LatAm,12804.84,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914
26,0.40599999,BDI,SubSaharian,663.57001,,66.9000015258789,4.1599998,,7.535565376281738
69,0.63700002,GTM,LatAm,4438.0,,26.5,1.88,,6.202301502227783
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
78,0.77399999,IRN,NorthAfrica,12889.28,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727
28,0.55800003,KHM,SouthEastAsia,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
36,0.73400003,CHN,EastAsia,9283.3799,,12.10000038146973,5.7800002,25.9,5.548227787017822
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387
3,0.85699999,AND,WesternDem,32367.33,,,9.9799995,33.099998,8.127135276794434
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918
139,0.421,GNB,SubSaharian,961.26001,,,3.5699999,,5.593137264251709
22,0.514,SLB,Pacific,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334
4,0.53100002,AGO,SubSaharian,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852
94,0.76300001,LBN,NorthAfrica,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021
154,0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333
32,0.347,CAF,SubSaharian,690.03998,,,1.66,,4.200222015380859
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265137,1.91,,3.643985748291016
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
140,0.60299999,TLS,SouthEastAsia,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.475303411483765
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
118,0.63700002,NAM,SubSaharian,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406
131,0.54799998,PAK,SouthAsia,2855.55,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727
164,0.48800001,SDN,SubSaharian,,,,,,8.4287748336792
122,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563
20,0.75400001,BRA,LatAm,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578
173,0.71799999,TON,Pacific,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.176770687103272
158,0.88800001,SVN,EastEurope,24456.561,2.061000108718872,2.5,10.46,20.9,9.23388671875
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
42,0.77499998,CRI,LatAm,9485.71,,8.600000381469727,3.45,14.2,9.313112258911133
181,0.74800003,UKR,EastEurope,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916
176,0.72299999,TUN,NorthAfrica,6912.2798,,13.80000019073486,1.39,,7.003858089447022
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
82,0.88099998,ITA,WesternDem,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283
1,0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
19,0.69800001,BWA,SubSaharian,12770.73,,41.0,5.7600002,,5.412002563476563
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,10.69999980926514,9.5900002,30.5,5.565009117126465
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.350246429443359
72,0.49000001,HTI,LatAm,1024.9399,,56.5,5.6799998,11.8,7.555654048919678
41,0.42500001,COD,SubSaharian,324.16,,74.5,1.8200001,,4.32823371887207
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,29.0,7.6399999,,5.247803688049316
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
162,0.88200003,ESP,WesternDem,31086.35,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
67,0.86500001,GRC,WesternDem,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143
74,0.83399999,HUN,EastEurope,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
23,0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875
170,0.625,TJK,EastEurope,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
17,0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
0,0.479,AFG,SouthAsia,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377
